2 2 2 2 2 2 2 
2 2.00001 2 1.99999 2.00001 2 1.99999 
1.99998 1.99989 2.00012 2.00006 1.99967 1.99994 1.99977 
1.99989 1.99956 2.00026 2.00016 1.99891 1.99974 1.99929 
1.99968 1.99914 2.00027 2.00015 1.99806 1.99941 1.9987 
1.99936 1.9986 2.00017 2.00002 1.9971 1.99898 1.998 
1.99893 1.99796 1.99995 1.99978 1.99603 1.99843 1.9972 
1.99839 1.99721 1.99963 1.99943 1.99487 1.99778 1.9963 
1.99775 1.99636 1.99919 1.99897 1.99361 1.99702 1.99529 
1.997 1.9954 1.99865 1.9984 1.99225 1.99615 1.99418 
1.99615 1.99434 1.99801 1.99773 1.99079 1.99519 1.99297 
1.99519 1.99318 1.99726 1.99695 1.98924 1.99412 1.99166 
1.99414 1.99193 1.9964 1.99606 1.98759 1.99295 1.99025 
1.99298 1.99057 1.99545 1.99507 1.98585 1.99169 1.98875 
1.99173 1.98912 1.99439 1.99398 1.98402 1.99032 1.98714 
1.99037 1.98757 1.99324 1.99278 1.98209 1.98886 1.98545 
1.98892 1.98593 1.99199 1.99149 1.98008 1.98731 1.98366 
1.98738 1.98419 1.99064 1.9901 1.97798 1.98565 1.98177 
1.98574 1.98236 1.9892 1.98861 1.9758 1.98391 1.9798 
1.98401 1.98044 1.98766 1.98702 1.97352 1.98208 1.97773 
1.98219 1.97843 1.98604 1.98534 1.97116 1.98015 1.97557 
1.98028 1.97634 1.98432 1.98356 1.96872 1.97813 1.97333 
1.97828 1.97415 1.98251 1.98169 1.9662 1.97603 1.971 
1.9762 1.97188 1.98061 1.97973 1.96359 1.97384 1.96858 
1.97402 1.96952 1.97863 1.97768 1.96091 1.97156 1.96607 
1.97176 1.96708 1.97656 1.97554 1.95815 1.96919 1.96349 
1.96942 1.96455 1.9744 1.9733 1.9553 1.96674 1.96081 
1.96699 1.96195 1.97216 1.97098 1.95238 1.96421 1.95806 
1.96448 1.95926 1.96984 1.96858 1.94939 1.9616 1.95522 
1.96189 1.95649 1.96744 1.96609 1.94632 1.9589 1.95231 
1.95922 1.95364 1.96495 1.96351 1.94317 1.95613 1.94931 
1.95647 1.95072 1.96239 1.96085 1.93996 1.95328 1.94624 
1.95364 1.94772 1.95975 1.9581 1.93667 1.95034 1.94309 
1.95074 1.94464 1.95702 1.95528 1.93331 1.94734 1.93986 
1.94775 1.94149 1.95423 1.95237 1.92988 1.94425 1.93656 
1.9447 1.93826 1.95136 1.94939 1.92638 1.94109 1.93319 
1.94157 1.93496 1.94841 1.94633 1.92281 1.93785 1.92974 
1.93837 1.93159 1.94539 1.94318 1.91918 1.93455 1.92621 
1.93509 1.92815 1.9423 1.93996 1.91548 1.93117 1.92262 
1.93174 1.92464 1.93913 1.93667 1.91172 1.92771 1.91896 
1.92833 1.92106 1.9359 1.9333 1.90789 1.92419 1.91522 
1.92484 1.91741 1.93259 1.92986 1.904 1.9206 1.91142 
1.92129 1.9137 1.92922 1.92634 1.90004 1.91694 1.90755 
1.91767 1.90992 1.92578 1.92275 1.89603 1.91321 1.90361 
1.91398 1.90607 1.92227 1.91909 1.89195 1.90941 1.89961 
1.91023 1.90216 1.91869 1.91537 1.88781 1.90554 1.89554 
1.90641 1.89818 1.91505 1.91157 1.88362 1.90162 1.89141 
1.90253 1.89415 1.91135 1.9077 1.87937 1.89762 1.88721 
1.89858 1.89005 1.90758 1.90376 1.87506 1.89356 1.88295 
1.89458 1.88589 1.90375 1.89976 1.87069 1.88944 1.87863 
1.89051 1.88167 1.89986 1.89569 1.86627 1.88526 1.87425 
1.88638 1.87739 1.8959 1.89156 1.8618 1.88101 1.86981 
1.88219 1.87306 1.89189 1.88736 1.85727 1.8767 1.86531 
1.87795 1.86866 1.88782 1.8831 1.85269 1.87234 1.86075 
1.87364 1.86421 1.88368 1.87878 1.84806 1.86791 1.85614 
1.86928 1.85971 1.87949 1.8744 1.84337 1.86342 1.85146 
1.86486 1.85515 1.87524 1.86995 1.83864 1.85888 1.84674 
1.86039 1.85053 1.87094 1.86545 1.83386 1.85428 1.84195 
1.85586 1.84587 1.86658 1.86088 1.82902 1.84962 1.83712 
1.85128 1.84115 1.86216 1.85626 1.82414 1.84491 1.83223 
1.84664 1.83638 1.85769 1.85158 1.81921 1.84014 1.82728 
1.84195 1.83156 1.85317 1.84684 1.81424 1.83532 1.82229 
1.83721 1.82668 1.84859 1.84205 1.80922 1.83044 1.81724 
1.83242 1.82176 1.84396 1.8372 1.80415 1.82551 1.81215 
1.82758 1.81679 1.83928 1.8323 1.79904 1.82052 1.80701 
1.82269 1.81178 1.83455 1.82734 1.79389 1.81549 1.80181 
1.81775 1.80671 1.82977 1.82233 1.7887 1.8104 1.79657 
1.81276 1.8016 1.82493 1.81727 1.78346 1.80526 1.79128 
1.80772 1.79645 1.82005 1.81215 1.77818 1.80007 1.78595 
1.80264 1.79125 1.81512 1.80699 1.77286 1.79484 1.78057 
